ts_ns,ax,ay,az,gesture,trial_id
340711311000,-0.3208,0.4717,9.5984,rest,0
340731175000,-0.3232,0.4429,9.6079,rest,0
340751152000,-0.4142,0.4286,9.6726,rest,0
340771226000,-0.4381,0.4717,9.5146,rest,0
340791173000,-0.4214,0.4334,9.5864,rest,0
340811226000,-0.3903,0.4429,9.5481,rest,0
340831173000,-0.4381,0.498,9.5265,rest,0
340851195000,-0.4669,0.4525,9.4978,rest,0
340871214000,-0.4501,0.4214,9.596,rest,0
340891180000,-0.3543,0.4142,9.6295,rest,0
340911152000,-0.2969,0.4621,9.651,rest,0
340931124000,-0.3448,0.5052,9.6367,rest,0
340951176000,-0.3208,0.51,9.6558,rest,0
340971129000,-0.3089,0.4405,9.6798,rest,0
340991152000,-0.2777,0.3783,9.6319,rest,0
341011223000,-0.2873,0.3903,9.6702,rest,0
341031181000,-0.2538,0.4429,9.5672,rest,0
341051172000,-0.2346,0.419,9.5122,rest,0
341071157000,-0.2729,0.4238,9.5122,rest,0
341091269000,-0.3448,0.4238,9.584,rest,0
341111152000,-0.3376,0.4549,9.5648,rest,0
341131208000,-0.3328,0.4932,9.6271,rest,0
341151176000,-0.3974,0.4286,9.6726,rest,0
341171208000,-0.395,0.4453,9.7109,rest,0
341191195000,-0.3998,0.4262,9.6702,rest,0
341211226000,-0.3639,0.407,9.7109,rest,0
341231114000,-0.407,0.3256,9.6702,rest,0
341251129000,-0.3017,0.4142,9.5864,rest,0
341271118000,-0.2945,0.4142,9.5984,rest,0
341291129000,-0.3328,0.3376,9.6007,rest,0
341311198000,-0.3615,0.3783,9.5912,rest,0
341331112000,-0.4214,0.3998,9.6055,rest,0
341351135000,-0.3783,0.4262,9.6462,rest,0
341371170000,-0.3065,0.4381,9.5912,rest,0
341391198000,-0.3974,0.4669,9.663,rest,0
341411205000,-0.4717,0.4453,9.6127,rest,0
341431198000,-0.5387,0.4022,9.7181,rest,0
341451226000,-0.4381,0.4334,9.7205,rest,0
341471152000,-0.4357,0.3855,9.6702,rest,0
341491170000,-0.3232,0.3639,9.6103,rest,0
341511122000,-0.2682,0.3017,9.6462,rest,0
341531172000,-0.3615,0.3328,9.6031,rest,0
341551114000,-0.5986,0.4022,9.4786,rest,0
341571147000,-0.7135,0.3998,9.4188,rest,0
341591112000,-0.6512,0.4238,9.4619,rest,0
341611208000,-0.6823,0.4549,9.5648,rest,0
341631225000,-0.5507,0.5626,9.6175,rest,0
341651112000,-0.4405,0.486,9.8378,rest,0
341671200000,-0.5387,0.4334,9.9359,rest,0
341691146000,-0.2753,0.4381,9.8234,rest,0
341711218000,-0.0144,0.3519,9.6678,rest,0
346433681000,-0.4094,0.5626,9.6606,rest,1
346453152000,-0.3089,0.5124,9.6534,rest,1
346473119000,-0.2251,0.4717,9.6486,rest,1
346493129000,-0.2682,0.4142,9.6367,rest,1
346513154000,-0.2466,0.4669,9.572,rest,1
346533155000,-0.2801,0.5076,9.4882,rest,1
346553215000,-0.249,0.5076,9.5529,rest,1
346573190000,-0.3184,0.4693,9.5577,rest,1
346593154000,-0.3687,0.5171,9.572,rest,1
346613170000,-0.3543,0.5219,9.6127,rest,1
346633177000,-0.3065,0.4908,9.73,rest,1
346653208000,-0.3208,0.4884,9.6869,rest,1
346673215000,-0.328,0.4741,9.6486,rest,1
346693195000,-0.3519,0.5148,9.6175,rest,1
346713219000,-0.2682,0.4741,9.6582,rest,1
346733223000,-0.3017,0.4549,9.6175,rest,1
346753158000,-0.3136,0.4812,9.6151,rest,1
346773226000,-0.3328,0.5052,9.5816,rest,1
346793115000,-0.261,0.5219,9.5481,rest,1
346813129000,-0.2921,0.5243,9.5768,rest,1
346833224000,-0.3639,0.5219,9.6199,rest,1
346853232000,-0.2705,0.4788,9.6534,rest,1
346873136000,-0.2562,0.4908,9.6558,rest,1
346893129000,-0.3711,0.4764,9.7181,rest,1
346913154000,-0.2753,0.4908,9.6654,rest,1
346933282000,-0.3065,0.5243,9.663,rest,1
346953158000,-0.34,0.5435,9.56,rest,1
346973212000,-0.3089,0.5722,9.5026,rest,1
346993233000,-0.3184,0.5363,9.426,rest,1
347013232000,-0.2442,0.5387,9.5265,rest,1
347033195000,-0.3735,0.5674,9.5864,rest,1
347053208000,-0.4453,0.4788,9.5816,rest,1
347073136000,-0.2801,0.5148,9.5313,rest,1
347093190000,-0.3184,0.5028,9.6367,rest,1
347113215000,-0.3208,0.5124,9.6367,rest,1
347133129000,-0.3903,0.5339,9.6558,rest,1
347153136000,-0.3543,0.5195,9.6702,rest,1
347173147000,-0.3352,0.4429,9.7396,rest,1
347193219000,-0.3304,0.51,9.7157,rest,1
347213129000,-0.3591,0.4645,9.5624,rest,1
347233154000,-0.3089,0.4836,9.5361,rest,1
